# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes,
46,soloAUV 20220909-022549-077.png,76,2614,628,2746,794,1,-1,copepod,1,
47,soloAUV 20220909-022550-078.png,77,3287,1055,3475,1177,1,-1,copepod-edge,1,
48,soloAUV 20220909-022553-081.png,80,2669,1226,2797,1354,1,-1,copepod,1,
49,soloAUV 20220909-022553-081.png,80,2392,60,2608,260,1,-1,copepod-edge,1,
50,soloAUV 20220909-022608-095.png,94,2156,1262,2237,1328,1,-1,echinoderm-larva-maybe,1,
51,soloAUV 20220909-022611-098.png,97,2855,1875,3051,2037,1,-1,copepod,1,
52,soloAUV 20220909-022623-109.png,108,3008,678,3165,777,1,-1,copepod,1,
53,soloAUV 20220909-022632-117.png,116,2402,2063,2538,2175,1,-1,copepod-maybe,1,
54,soloAUV 20220909-022706-148.png,147,1421,360,1574,486,1,-1,copepod,1,
55,soloAUV 20220909-022709-151.png,150,3039,1715,3336,1844,1,-1,ctenophore-maybe,1,
56,soloAUV 20220909-022753-191.png,190,2426,382,2726,562,1,-1,copepod,1,
57,soloAUV 20220909-022754-192.png,191,2557,1681,2701,1822,1,-1,copepod-maybe,1,
58,soloAUV 20220909-022813-209.png,208,2370,584,2440,645,1,-1,copepod-maybe,1,
59,soloAUV 20220909-022906-256.png,255,3326,1506,3476,1583,1,-1,unknown,1,
60,soloAUV 20220909-022919-268.png,267,3284,1649,3367,1719,1,-1,copepod-maybe,1,
61,soloAUV 20220909-022923-272.png,271,1866,1707,2260,2108,1,-1,copepod-calanus-maybe,1,
62,soloAUV 20220909-022935-282.png,281,3100,1132,3508,1288,1,-1,copepod-edge,1,(poly) 3500 1163 3112 1132 3100 1250 3227 1277 3508 1288 3500 1163
63,soloAUV 20220909-022936-283.png,282,2435,624,2636,820,1,-1,copepod,1,
64,soloAUV 20220909-023021-324.png,323,1708,2329,1965,2541,1,-1,unknown,1,
65,soloAUV 20220909-023032-334.png,333,2370,2424,2499,2512,1,-1,copepod-maybe,1,
66,soloAUV 20220909-023105-363.png,362,2062,1385,2433,1511,1,-1,copepod,1,
67,soloAUV 20220909-023328-492.png,491,3127,1740,3416,2025,1,-1,copepod-edge,1,
68,soloAUV 20220909-023329-493.png,492,1000,822,1474,1236,1,-1,copepod,1,
69,soloAUV 20220909-023330-494.png,493,1958,1133,2158,1266,1,-1,copepod,1,
