Track-id,ImageName,3: Unique Frame Identifier,TL_x,TL_y,BR_x,BR_y,Length Confidence,Target Length,Repeated Species,Attributes,poly_coordinates,Unnamed: 12
34,soloAUV 20220919-173225-060.png,70,1307,1923,1483,2066,1,-1,copepod,1,(poly) 1476 1951 1453 2007 1483 2050 1461 2066 1415 2026 1335 2057 1307 2049 1399 2007 1434 1928 1474 1923 1483 1948 1476 1951,
35,soloAUV 20220919-173226-061.png,71,2345,1220,2569,1370,1,-1,unknown,1,(poly) 2386 1370 2569 1262 2569 1220 2492 1247 2365 1312 2345 1359 2386 1370,
36,soloAUV 20220919-173226-061.png,71,3144,904,3242,967,1,-1,unknown,1,(poly) 3144 945 3230 904 3242 919 3160 967 3144 945,
37,soloAUV 20220919-173228-063.png,73,3210,1227,3358,1443,1,-1,copepod,1,(poly) 3260 1253 3358 1407 3312 1443 3231 1373 3210 1249 3252 1227 3260 1253,
38,soloAUV 20220919-173231-066.png,76,2469,2228,2645,2354,1,-1,copepod,1,(poly) 2551 2229 2592 2228 2589 2280 2636 2249 2645 2269 2568 2317 2486 2354 2469 2329 2539 2288 2551 2229,
39,soloAUV 20220919-173231-066.png,76,1265,2244,1387,2427,1,-1,copepod-edge,1,(poly) 1265 2367 1315 2348 1350 2244 1387 2244 1329 2418 1326 2427 1265 2367,
40,soloAUV 20220919-173232-067.png,77,2324,1949,2477,2102,1,-1,copepod,1,(poly) 2413 1961 2460 1986 2473 2009 2477 2089 2452 2094 2436 2053 2356 2102 2324 2075 2425 2002 2366 1969 2384 1949 2413 1961,
41,soloAUV 20220919-173232-067.png,77,1697,2083,1802,2165,1,-1,unknown,1,(poly) 1774 2083 1697 2137 1714 2159 1753 2165 1802 2109 1790 2085 1774 2083,
42,soloAUV 20220919-173233-068.png,78,1336,1518,1529,1608,1,-1,copepod,1,(poly) 1398 1608 1446 1543 1529 1550 1524 1526 1427 1518 1336 1539 1345 1562 1390 1554 1367 1595 1398 1608,
43,soloAUV 20220919-173235-070.png,80,2018,1640,2116,1716,1,-1,unknown,1,(poly) 2018 1679 2026 1716 2088 1697 2116 1667 2089 1640 2052 1663 2018 1679,
44,soloAUV 20220919-173237-072.png,82,2122,810,2243,922,1,-1,copepod,1,(poly) 2122 839 2199 810 2243 854 2220 916 2166 922 2154 884 2166 862 2139 863 2122 839,
45,soloAUV 20220919-173237-072.png,82,3199,1418,3357,1546,1,-1,copepod-maybe,1,(poly) 3244 1418 3222 1481 3199 1530 3226 1546 3255 1489 3328 1467 3346 1454 3357 1431 3264 1444 3274 1419 3244 1418,
46,soloAUV 20220919-173241-075.png,85,1608,2199,1708,2296,1,-1,unknown,1,(poly) 1678 2200 1627 2223 1608 2282 1643 2296 1708 2222 1690 2199 1678 2200,
47,soloAUV 20220919-173243-077.png,87,2917,826,3057,947,1,-1,copepod,1,(poly) 3036 850 3057 938 3027 947 2964 893 2931 912 2917 900 2978 852 3047 826 3054 836 3036 850,
48,soloAUV 20220919-173247-081.png,91,1365,730,1530,847,1,-1,copepod,1,(poly) 1466 770 1466 837 1418 847 1418 800 1376 831 1365 811 1419 756 1509 730 1530 760 1466 770,
49,soloAUV 20220919-173248-082.png,92,1643,1395,1824,1578,1,-1,copepod,1,(poly) 1819 1419 1705 1523 1736 1562 1727 1578 1699 1561 1664 1518 1643 1441 1676 1436 1683 1478 1797 1395 1824 1396 1819 1419,
50,soloAUV 20220919-173251-084.png,94,1133,2134,1257,2215,1,-1,crustacea,1,(poly) 1164 2215 1257 2166 1253 2134 1190 2134 1133 2185 1138 2207 1164 2215,
51,soloAUV 20220919-173258-091.png,101,2685,1960,2821,2027,1,-1,copepod,1,(poly) 2708 2027 2818 2021 2821 1969 2725 1960 2685 1983 2708 2027,
52,soloAUV 20220919-173258-091.png,101,2014,1340,2098,1423,1,-1,unknown,1,(poly) 2041 1340 2098 1349 2068 1423 2027 1411 2014 1381 2041 1340,
53,soloAUV 20220919-173259-092.png,102,1137,1484,1321,1638,1,-1,unknown,1,(poly) 1137 1559 1159 1611 1211 1638 1237 1619 1266 1603 1288 1589 1317 1567 1321 1534 1321 1509 1306 1484 1273 1490 1255 1519 1219 1525 1173 1541 1137 1559,
54,soloAUV 20220919-173301-094.png,104,2500,1056,2730,1187,1,-1,copepod,1,(poly) 2583 1056 2677 1066 2730 1116 2709 1127 2676 1112 2648 1140 2603 1168 2558 1183 2530 1185 2513 1187 2500 1177 2518 1157 2532 1145 2560 1132 2584 1119 2601 1107 2615 1099 2632 1087 2556 1088 2583 1056,
55,soloAUV 20220919-173301-094.png,104,3358,1619,3443,1718,1,-1,copepod,1,(poly) 3440 1641 3432 1627 3379 1619 3375 1632 3397 1644 3358 1704 3364 1718 3399 1704 3432 1688 3443 1663 3440 1641,
56,soloAUV 20220919-173302-095.png,105,1985,977,2213,1135,1,-1,copepod,1,(poly) 2023 1107 2092 1135 2100 1098 2078 1090 2127 1022 2213 1008 2208 977 2099 999 1985 1054 1992 1072 2033 1061 2023 1107,
57,soloAUV 20220919-173304-097.png,107,2021,2586,2107,2639,1,-1,ostracod-maybe,1,(poly) 2053 2639 2106 2604 2107 2592 2054 2586 2021 2626 2053 2639,
58,soloAUV 20220919-173312-105.png,115,2984,2161,3152,2248,1,-1,copepod,1,(poly) 3003 2247 3152 2207 3149 2172 3103 2161 2984 2220 2986 2248 3003 2247,
59,soloAUV 20220919-173315-107.png,117,1837,473,2029,559,1,-1,copepod,1,(poly) 1858 490 1928 473 2029 482 2014 506 1857 559 1837 528 1842 494 1858 490,
60,soloAUV 20220919-173317-109.png,119,1676,1489,1976,1670,1,-1,copepod,1,(poly) 1707 1664 1976 1512 1961 1489 1855 1538 1764 1549 1741 1565 1763 1592 1676 1650 1686 1670 1707 1664,
61,soloAUV 20220919-173320-112.png,122,1631,2334,1726,2476,1,-1,copepod,1,(poly) 1695 2350 1631 2444 1636 2462 1689 2476 1713 2470 1726 2420 1698 2392 1724 2349 1695 2334 1695 2350,
62,soloAUV 20220919-173327-119.png,129,2995,547,3080,730,1,-1,copepod,1,(poly) 3004 555 3028 547 3075 607 3080 704 3058 727 3033 730 3017 708 3001 674 3000 627 3000 580 2995 551 3004 555,
63,soloAUV 20220919-173328-120.png,130,986,1917,1095,2006,1,-1,copepod-maybe-edge,1,(poly) 986 1979 1002 2006 1089 1951 1095 1932 1086 1923 1062 1917 986 1979,
64,soloAUV 20220919-173330-121.png,131,2145,1808,2327,2013,1,-1,copepod,1,(poly) 2284 1832 2175 1877 2167 1808 2148 1808 2145 1895 2148 1941 2176 2013 2208 2005 2184 1933 2327 1842 2323 1824 2284 1832,
65,soloAUV 20220919-173331-122.png,132,2496,1938,2694,2069,1,-1,copepod,1,(poly) 2683 1981 2513 2069 2496 2045 2554 2010 2553 1938 2600 1939 2628 1979 2678 1954 2694 1970 2683 1981,
66,soloAUV 20220919-173331-122.png,132,2576,1891,2672,1933,1,-1,crustacea-maybe,1,(poly) 2643 1891 2576 1908 2592 1932 2614 1933 2672 1917 2669 1894 2643 1891,
67,soloAUV 20220919-173332-123.png,133,1783,2052,1951,2150,1,-1,copepod,1,,
68,soloAUV 20220919-173332-123.png,133,1604,2309,1723,2398,1,-1,unknown,1,,
69,soloAUV 20220919-173333-124.png,134,2381,529,2500,673,1,-1,copepod,1,,
70,soloAUV 20220919-173334-125.png,135,1935,2470,2066,2550,1,-1,copepod,1,(poly) 1944 2507 2004 2544 2048 2550 2066 2515 2004 2485 1969 2474 1948 2470 1935 2488 1944 2507,
71,soloAUV 20220919-173334-125.png,135,2111,1262,2212,1366,1,-1,copepod,1,(poly) 2111 1286 2126 1366 2212 1279 2179 1262 2111 1286,
72,soloAUV 20220919-173337-128.png,138,1113,713,1227,838,1,-1,copepod,1,(poly) 1227 777 1155 838 1113 820 1139 720 1219 713 1227 777,
73,soloAUV 20220919-173337-128.png,138,1972,49,2133,128,1,-1,crustacea-edge,1,(poly) 2052 51 1972 100 1992 128 2080 105 2122 63 2133 49 2052 51,
74,soloAUV 20220919-173340-131.png,141,2552,1526,2747,1710,1,-1,copepod,1,(poly) 2731 1559 2575 1710 2552 1691 2602 1625 2590 1575 2684 1526 2747 1536 2731 1559,
75,soloAUV 20220919-173347-137.png,147,2376,2155,2549,2256,1,-1,copepod,1,(poly) 2410 2170 2526 2155 2549 2185 2417 2256 2376 2200 2410 2170,
76,soloAUV 20220919-173347-137.png,147,3363,1678,3453,1752,1,-1,copepod-maybe-edge,1,(poly) 3441 1678 3452 1686 3453 1701 3437 1724 3381 1752 3363 1744 3401 1703 3441 1678,
77,soloAUV 20220919-173347-137.png,147,3080,500,3191,573,1,-1,unknown,1,(poly) 3165 500 3123 509 3080 553 3095 573 3140 559 3184 534 3191 521 3180 503 3165 500,
78,soloAUV 20220919-173404-153.png,163,2531,2036,2630,2132,1,-1,copepod,1,(poly) 2594 2042 2536 2096 2531 2124 2564 2132 2596 2106 2630 2055 2630 2036 2594 2042,
79,soloAUV 20220919-173409-158.png,168,1408,453,1593,689,1,-1,copepod,1,(poly) 1593 490 1550 584 1499 689 1457 672 1493 600 1424 629 1408 603 1500 559 1564 453 1593 460 1593 490,
80,soloAUV 20220919-173410-159.png,169,1140,684,1488,1005,1,-1,unknown,1,(poly) 1245 736 1140 826 1163 1005 1254 984 1440 854 1488 730 1434 684 1245 736,
81,soloAUV 20220919-173413-161.png,171,3277,1136,3449,1284,1,-1,copepod,1,(poly) 3344 1145 3417 1160 3441 1202 3449 1259 3432 1266 3400 1224 3308 1284 3277 1265 3304 1225 3370 1182 3306 1164 3319 1136 3344 1145,
82,soloAUV 20220919-173417-165.png,175,2034,1821,2187,1905,1,-1,copepod,1,(poly) 2187 1845 2139 1821 2034 1874 2052 1905 2177 1866 2187 1845,
83,soloAUV 20220919-173453-199.png,209,1754,1685,1883,1813,1,-1,copepod,1,(poly) 1800 1704 1804 1734 1858 1736 1883 1776 1833 1813 1768 1805 1754 1723 1754 1692 1778 1685 1800 1704,
84,soloAUV 20220919-173458-204.png,214,1430,1380,1497,1463,1,-1,polychaeta-larva,1,(poly) 1461 1395 1430 1442 1452 1463 1474 1458 1497 1399 1468 1380 1461 1395,
85,soloAUV 20220919-173507-212.png,222,1731,1625,1934,1792,1,-1,copepod,1,(poly) 1904 1626 1864 1669 1780 1713 1742 1766 1731 1780 1740 1792 1846 1745 1888 1691 1934 1644 1924 1625 1904 1626,
86,soloAUV 20220919-173529-232.png,242,2715,2032,2863,2163,1,-1,polychaeta-larva,1,(poly) 2787 2032 2863 2038 2780 2163 2715 2144 2734 2088 2787 2032,
87,soloAUV 20220919-173540-242.png,252,2142,345,2248,422,1,-1,copepod-maybe,1,(poly) 2200 345 2243 346 2248 374 2186 422 2142 401 2200 345,
88,soloAUV 20220919-173548-249.png,259,2509,615,2684,731,1,-1,copepod,1,(poly) 2664 615 2606 615 2509 720 2517 731 2612 708 2668 665 2684 627 2664 615,
89,soloAUV 20220919-173552-253.png,263,2484,1212,2578,1296,1,-1,unknown,1,(poly) 2530 1212 2571 1212 2578 1235 2503 1296 2484 1277 2530 1212,
90,soloAUV 20220919-173600-261.png,271,1148,1748,1263,1811,1,-1,polychaeta-larva,1,(poly) 1249 1773 1208 1806 1188 1811 1148 1799 1162 1775 1194 1769 1229 1748 1263 1762 1249 1773,
91,soloAUV 20220919-173609-269.png,279,1492,1383,1607,1592,1,-1,marine-snow,1,(poly) 1561 1395 1492 1584 1519 1592 1583 1500 1607 1390 1575 1383 1561 1395,
92,soloAUV 20220919-173609-269.png,279,1795,1109,1937,1255,1,-1,marine-snow,1,(poly) 1836 1138 1795 1252 1817 1255 1937 1128 1907 1109 1836 1138,
93,soloAUV 20220919-173642-299.png,309,1863,778,1991,879,1,-1,unknown,1,(poly) 1991 814 1912 879 1863 840 1929 785 1987 778 1991 814,
94,soloAUV 20220919-173652-308.png,318,2429,1998,2531,2091,1,-1,ostracod-maybe,1,(poly) 2531 2004 2517 2051 2474 2081 2444 2091 2429 2074 2457 2017 2491 1998 2531 2004,
95,soloAUV 20220919-173653-309.png,319,2690,323,2826,436,1,-1,unknown,1,(poly) 2826 335 2813 384 2705 436 2690 408 2738 346 2776 323 2826 335,
96,soloAUV 20220919-173702-318.png,328,2298,915,2749,1316,1,-1,copepod,1,(poly) 2733 958 2328 1316 2298 1295 2435 1152 2446 1060 2534 1014 2564 1046 2710 915 2749 920 2733 958,
97,soloAUV 20220919-173729-342.png,352,1816,1539,2027,1670,1,-1,copepod-calanus-maybe,1,(poly) 2027 1576 1862 1670 1837 1651 1816 1626 1819 1600 1959 1539 2023 1554 2027 1576,
98,soloAUV 20220919-173745-357.png,367,2584,357,3011,591,1,-1,copepod-calanus,1,(poly) 2609 385 2814 357 2999 360 3011 384 2992 398 2853 402 2629 591 2584 567 2662 507 2747 402 2599 424 2588 408 2609 385,
99,soloAUV 20220919-173754-365.png,375,989,690,1109,825,1,-1,copepod-edge,1,(poly) 1068 696 1109 739 1105 811 1093 824 1073 825 1053 786 989 800 993 784 1003 761 1053 690 1068 696,
100,soloAUV 20220919-173754-365.png,375,2677,932,2905,1131,1,-1,copepod,1,(poly) 2778 970 2709 1039 2677 1120 2704 1131 2725 1072 2903 1030 2905 1005 2790 1010 2822 937 2806 932 2778 970,
101,soloAUV 20220919-173758-369.png,379,929,1615,1174,1858,1,-1,copepod-calanus,1,(poly) 931 1686 1060 1615 1174 1615 1173 1658 1126 1660 1084 1781 1089 1838 1019 1858 988 1708 929 1724 931 1686,
102,soloAUV 20220919-173822-391.png,401,1877,1808,2065,1913,1,-1,unknown,1,(poly) 2037 1808 1893 1856 1877 1903 1906 1913 2065 1843 2065 1824 2037 1808,
103,soloAUV 20220919-173827-395.png,405,938,414,1320,929,1,-1,unknown,1,(poly) 1310 414 1270 415 1200 493 960 861 938 929 1024 865 1216 617 1320 417 1310 414,
104,soloAUV 20220919-173930-452.png,462,1143,1880,1437,2265,1,-1,copepod-edge,1,(poly) 1177 2265 1324 2084 1437 1899 1394 1880 1295 2039 1150 2111 1143 2159 1167 2166 1248 2132 1159 2239 1177 2265,
105,soloAUV 20220919-173955-475.png,485,2092,1458,2204,1577,1,-1,ostracod-maybe,1,(poly) 2092 1571 2134 1577 2204 1482 2180 1458 2142 1463 2092 1571,
106,soloAUV 20220919-174049-523.png,533,2699,1134,2923,1410,1,-1,copepod,1,(poly) 2889 1150 2719 1309 2699 1347 2715 1370 2745 1343 2784 1410 2813 1387 2803 1350 2855 1281 2884 1230 2894 1198 2923 1161 2912 1134 2889 1150,
107,soloAUV 20220919-174051-525.png,535,2607,950,2986,1117,1,-1,unknown,1,(poly) 2650 1004 2829 950 2905 954 2986 1017 2928 1084 2620 1117 2607 1062 2650 1004,
108,soloAUV 20220919-174054-528.png,538,1317,1740,1481,1881,1,-1,copepod,1,(poly) 1414 1760 1364 1835 1317 1846 1317 1881 1378 1862 1455 1873 1466 1853 1416 1839 1481 1757 1436 1740 1414 1760,
109,soloAUV 20220919-174107-540.png,550,872,1091,1175,1251,1,-1,copepod-calanus,1,(poly) 880 1251 973 1242 1092 1206 1175 1107 1163 1091 954 1182 872 1224 880 1251,
110,soloAUV 20220919-174138-568.png,578,866,13,3512,2770,1,-1,hydrozoa,1,(poly) 3365 2022 3205 2251 3098 2397 2908 2548 2688 2656 2498 2699 2394 2730 2300 2770 2154 2766 1906 2717 1777 2682 1604 2596 1470 2531 1298 2402 1164 2251 974 2013 931 1841 1246 1681 1652 2005 2152 1923 2392 1869 2588 1728 2597 1642 2359 1396 2075 1223 1772 1146 1406 1094 1026 1146 866 1215 903 962 1026 736 1162 509 1358 317 1613 144 1860 65 2176 13 2466 37 2757 131 2916 252 3210 485 3382 757 3482 1051 3512 1426 3495 1625 3413 1854 3365 2022,
111,soloAUV 20220919-174139-569.png,579,836,30,3534,2718,1,-1,hydrozoa,1,(poly) 3010 304 2956 244 2871 194 2592 70 2442 45 2237 30 2118 35 1993 55 1913 75 1814 110 1649 150 1534 204 1445 254 1360 309 1280 374 1180 469 1071 623 2168 613 2158 1157 856 1207 836 1327 841 1471 841 1566 2232 1406 2018 1606 2836 1775 1080 1925 1165 2114 2028 2184 1759 2643 1744 2678 1824 2703 1878 2718 2158 2573 2377 2498 2606 2459 2836 2464 3015 2444 3105 2369 3200 2284 3270 2199 3310 2129 3364 2035 3419 1915 3464 1760 3514 1616 3524 1466 3534 1317 3514 1192 3479 1037 3424 843 3369 733 3285 569 3200 419 3120 344 3010 304,
112,soloAUV 20220919-174140-570.png,580,856,224,3514,2229,1,-1,hydrozoa,1,(poly) 2941 239 1509 224 1420 284 1200 449 1080 554 986 698 891 893 866 1027 856 1152 2063 1446 1923 1910 1629 1895 1649 2065 3240 2229 3320 2070 3409 1885 3499 1626 3514 1197 3434 898 3330 633 3185 449 3025 319 2941 239,
112,soloAUV 20220919-174141-571.png,581,846,239,3519,2289,1,-1,hydrozoa,1,(poly) 2921 239 1464 259 1280 369 1125 544 1046 678 961 833 916 948 866 1057 846 1172 1639 1327 1619 1586 2412 2144 3180 2289 3414 1915 3479 1661 3519 1396 3514 1172 3489 938 3409 723 3345 588 3275 509 3165 389 3030 289 2921 239,
113,soloAUV 20220919-174142-572.png,582,881,110,3514,1905,1,-1,hydrozoa,1,(poly) 2816 175 1699 110 1514 229 1305 364 1210 454 1130 539 1076 618 1001 708 941 828 886 948 881 1042 1036 1107 3085 1346 3015 1740 3030 1825 3389 1905 3459 1720 3489 1571 3514 1446 3514 1272 3504 1162 3494 1047 3459 923 3434 823 3379 698 3315 603 3230 494 3165 424 3110 339 3005 284 2881 229 2816 175,
114,soloAUV 20220919-174143-573.png,583,911,284,3544,2209,1,-1,hydrozoa,1,(poly) 3020 304 1405 284 1260 429 1071 628 941 868 911 982 2836 1267 2582 1840 1589 1745 1609 1945 3215 2209 3330 2050 3449 1795 3504 1641 3544 1386 3524 1147 3499 957 3419 753 3320 588 3215 444 3070 339 3020 304,
115,soloAUV 20220919-174144-574.png,584,906,190,3554,2199,1,-1,hydrozoa,1,(poly) 2916 229 1529 190 1335 359 1110 583 1031 708 941 868 906 957 2597 1207 2462 1740 1499 1606 1509 1830 3250 2199 3340 2035 3429 1865 3489 1706 3519 1591 3539 1486 3554 1322 3544 1167 3514 1022 3489 903 3404 703 3280 569 3185 449 3095 349 2916 229,
116,soloAUV 20220919-174145-575.png,585,941,324,3559,2508,1,-1,hydrozoa,1,(poly) 3035 324 1340 324 1185 484 1105 608 1036 703 966 808 941 918 1754 1287 2213 1322 2337 1576 2163 2164 3000 2508 3409 1970 3519 1651 3559 1341 3534 1062 3429 738 3285 514 3035 324,
117,soloAUV 20220919-174146-576.png,586,861,209,3574,2244,1,-1,hydrozoa,1,(poly) 2936 219 1539 209 1330 354 1105 544 1011 688 921 848 861 1012 1420 1376 1794 1381 2148 1371 2577 1391 2856 1406 3300 1461 2836 2209 3215 2244 3384 1880 3514 1666 3574 1416 3559 1162 3479 967 3429 773 3364 613 3215 424 3115 339 2936 219,
118,soloAUV 20220919-174146-576.png,586,1486,1630,1820,2071,1,-1,copepod,1,(poly) 1811 1659 1721 1838 1566 2071 1486 2049 1610 1884 1520 1887 1489 1882 1513 1819 1673 1785 1772 1630 1820 1632 1811 1659,
119,soloAUV 20220919-174147-577.png,587,874,227,3582,2311,1,-1,hydrozoa,1,(poly) 2989 282 1508 227 1343 316 1228 426 1173 516 1074 646 974 785 904 955 874 1084 899 1264 1094 1324 1463 1364 1792 1424 2156 1528 2141 2047 2156 2311 3343 2107 3423 1912 3492 1768 3547 1603 3567 1498 3582 1309 3547 1104 3487 960 3428 765 3333 566 3268 461 3168 371 2989 282,
120,soloAUV 20220919-174148-578.png,588,934,112,3547,2167,1,-1,hydrozoa,1,(poly) 2669 112 1662 167 1303 316 1094 606 1009 735 934 875 974 990 1418 1084 2266 1144 2251 1294 1388 2087 1393 2167 3418 1947 3487 1753 3522 1633 3547 1478 3547 1314 3507 1144 3482 965 3403 770 3253 516 3148 386 3029 267 2849 142 2669 112,
121,soloAUV 20220919-174150-579.png,589,969,187,3557,1907,1,-1,hydrozoa,1,(poly) 2869 187 2106 207 1173 476 1069 586 1019 690 969 805 2036 1219 2744 1424 1552 1518 1567 1643 3432 1907 3467 1823 3507 1678 3527 1568 3542 1463 3557 1349 3557 1284 3557 1184 3522 1020 3487 920 3437 805 3368 646 3323 566 3268 476 3113 321 3009 232 2869 187,
